model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,noise,PSH Flag Cnt,50.0,0.9304359736915458,0.0036397209667773382,20,0.0008138663500845382,0.001703441847800432,0.9287325318437454,0.9321394155393463
cnn_lstm,binary,noise,PSH Flag Cnt,75.0,0.9287135990679392,0.004843165049698637,20,0.00108296462773773,0.0022666710159284084,0.9264469280520108,0.9309802700838675
cnn_lstm,binary,noise,Protocol,5.0,0.9303080231847026,0.0038425645760297262,20,0.0008592235599935126,0.0017983755791807624,0.9285096476055219,0.9321063987638833
cnn_lstm,binary,noise,Protocol,10.0,0.9291604158184645,0.004965335287622091,20,0.0011102827234201465,0.0023238484473123338,0.9268365673711522,0.9314842642657769
cnn_lstm,binary,noise,Protocol,20.0,0.9290784013397678,0.007544106240735012,20,0.0016869134383763879,0.003530750404226408,0.9255476509355414,0.9326091517439943
cnn_lstm,binary,noise,Protocol,35.0,0.9325365976867539,0.0028915911326955006,20,0.0006465794335842754,0.0013533063075775878,0.9311832913791763,0.9338899039943315
cnn_lstm,binary,noise,Protocol,50.0,0.9312733064310137,0.003866314996917457,20,0.0008645343155534324,0.0018094911183147572,0.929463815312699,0.9330827975493284
cnn_lstm,binary,noise,Protocol,75.0,0.9207849606830021,0.013844974396948352,20,0.003095830389832067,0.0064796474742867686,0.9143053132087153,0.9272646081572888
cnn_lstm,binary,noise,Timestamp,5.0,0.9395384942413688,0.0026990702609052558,14,0.0007213568699384299,0.0015583967719390904,0.9379800974694297,0.941096891013308
cnn_lstm,binary,noise,Timestamp,10.0,0.9386325033700221,0.0025387610240441365,14,0.0006785124242048942,0.001465836974272839,0.9371666663957493,0.940098340344295
cnn_lstm,binary,noise,Timestamp,20.0,0.9426479632508438,0.0025059644035370487,14,0.0006697471586776394,0.0014469007693621839,0.9412010624814816,0.9440948640202059
cnn_lstm,binary,noise,Timestamp,35.0,0.937906897948854,0.005286253432090214,14,0.0014128106573242463,0.003052191861599895,0.9348547060872541,0.9409590898104538
cnn_lstm,binary,noise,Timestamp,50.0,0.9348235310042614,0.007895473784598907,14,0.002110154129158893,0.004558710840940409,0.930264820163321,0.9393822418452018
cnn_lstm,binary,noise,Timestamp,75.0,0.9377896939603648,0.0028783106273584107,14,0.0007692608728775382,0.0016618870784078413,0.936127806881957,0.9394515810387727
cnn_lstm,binary,outliers,Bwd Byts_b Avg,5.0,0.9337061915151006,0.006155514226122242,20,0.0013764148246076344,0.0028808693367479723,0.9308253221783526,0.9365870608518486
cnn_lstm,binary,outliers,Bwd Byts_b Avg,10.0,0.9342265527794197,0.005953511839337383,20,0.0013312457177608195,0.0027863293096014497,0.9314402234698183,0.9370128820890211
cnn_lstm,binary,outliers,Bwd Byts_b Avg,20.0,0.9345428384843124,0.00610698424948879,20,0.001365563191937747,0.0028581566085402947,0.9316846818757721,0.9374009950928527
cnn_lstm,binary,outliers,Bwd Byts_b Avg,35.0,0.9345638019859474,0.005934641683090535,20,0.00132702622254942,0.0027774978046265293,0.9317863041813208,0.9373412997905739
cnn_lstm,binary,outliers,Bwd Byts_b Avg,50.0,0.9346037650749862,0.0062008930101998,20,0.0013865618292010049,0.002902107261442088,0.9317016578135441,0.9375058723364283
cnn_lstm,binary,outliers,Bwd Byts_b Avg,75.0,0.9338253993471142,0.005301225159850437,20,0.0011853899821457766,0.002481049746485746,0.9313443496006284,0.9363064490936
cnn_lstm,binary,outliers,Dst Port,5.0,0.9245468540396384,0.01087602281036225,20,0.0024319526328808296,0.005090135359801195,0.9194567186798372,0.9296369893994396
cnn_lstm,binary,outliers,Dst Port,10.0,0.915000798643051,0.015375316454996353,20,0.003438025276894293,0.007195869604203541,0.9078049290388475,0.9221966682472544
cnn_lstm,binary,outliers,Dst Port,20.0,0.8922176138528753,0.012450795126059722,20,0.00278408242757926,0.0058271514903788695,0.8863904623624965,0.8980447653432542
cnn_lstm,binary,outliers,Dst Port,35.0,0.8908455874115735,0.015210492889292162,20,0.0034011696071734455,0.007118729800936479,0.883726857610637,0.89796431721251
cnn_lstm,binary,outliers,Dst Port,50.0,0.8779697967339987,0.014194137118654599,20,0.003173905547926468,0.006643060658230081,0.8713267360757686,0.8846128573922287
cnn_lstm,binary,outliers,Dst Port,75.0,0.8758891651959096,0.006084154815754995,20,0.0013604583753660878,0.00284747210466247,0.8730416930912471,0.8787366373005722
cnn_lstm,binary,outliers,Fwd Act Data Pkts,5.0,0.9335474179036456,0.004020511882786257,19,0.0009223686841247231,0.001937824697705755,0.9316095932059398,0.9354852426013514
cnn_lstm,binary,outliers,Fwd Act Data Pkts,10.0,0.9358977937357036,0.0043608909725883355,20,0.000975124865717269,0.0020409597999979157,0.9338568339357056,0.9379387535357016
