model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,Fwd Seg Size Min,75.0,20,0.7373443625996885,0.7371326601634227,-0.00021170243626572605,-0.009967992471604226,0.4552335358621803,False
cnn_lstm,outliers,Idle Mean,5.0,20,0.7373443625996885,0.7490238882231659,0.01167952562347746,0.0050045397639986835,0.021484375,True
cnn_lstm,outliers,Idle Mean,10.0,20,0.7373443625996885,0.7407053000386431,0.003360937438954603,-0.00023286540962899616,0.5958194732666016,False
cnn_lstm,outliers,Idle Mean,20.0,20,0.7373443625996885,0.7514037257860293,0.014059363186340823,0.005748241711581131,0.16495704650878906,False
cnn_lstm,outliers,Idle Mean,35.0,20,0.7373443625996885,0.7441069729007309,0.0067626103010424155,0.00607085612078222,0.09730720520019531,False
cnn_lstm,outliers,Idle Mean,50.0,20,0.7373443625996885,0.7493282193888168,0.011983856789128278,0.000761394540229049,0.1893482208251953,False
cnn_lstm,outliers,Idle Mean,75.0,20,0.7373443625996885,0.7505327822698058,0.013188419670117246,0.004389996457384309,0.058258056640625,False
cnn_lstm,outliers,Init Fwd Win Byts,5.0,20,0.7373443625996885,0.7448420505023917,0.007497687902703221,0.007492586427805786,0.03623390197753906,True
cnn_lstm,outliers,Init Fwd Win Byts,10.0,20,0.7373443625996885,0.7435139905550369,0.006169627955348367,0.0024096748337954998,0.1893482208251953,False
cnn_lstm,outliers,Init Fwd Win Byts,20.0,20,0.7373443625996885,0.7494830144894562,0.012138651889767649,0.008949313265109744,0.05316925048828125,False
cnn_lstm,outliers,Init Fwd Win Byts,35.0,20,0.7373443625996885,0.712390831468428,-0.02495353113126053,-0.040076198220888225,0.002712249755859375,True
cnn_lstm,outliers,Init Fwd Win Byts,50.0,20,0.7373443625996885,0.7199663563345781,-0.017378006265110435,-0.01876488118628264,0.013616561889648438,True
cnn_lstm,outliers,Init Fwd Win Byts,75.0,20,0.7373443625996885,0.6816224293171591,-0.055721933282529446,-0.05050972567218268,0.002712249755859375,True
cnn_lstm,outliers,PSH Flag Cnt,5.0,20,0.7373443625996885,0.7462073481049316,0.00886298550524306,0.005252330326821536,0.13272666931152344,False
cnn_lstm,outliers,PSH Flag Cnt,10.0,20,0.7373443625996885,0.7515559330610232,0.0142115704613347,0.01123233499454051,0.001209259033203125,True
cnn_lstm,outliers,PSH Flag Cnt,20.0,19,0.7373443625996885,0.7442171001989201,0.006872737599231571,0.004910846162254994,0.24125289916992188,False
cnn_lstm,outliers,PSH Flag Cnt,35.0,20,0.7373443625996885,0.7423120293525088,0.004967666752820343,-0.005261493781246041,0.40909767150878906,False
