model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,noise,Fwd Seg Size Min,50.0,20,0.014917669957400959,0.013090557679073151,0.02275690685955615,True
cnn_lstm,noise,Fwd Seg Size Min,75.0,20,-0.046988128401577345,-0.043948004460403464,0.0013232490063517005,True
cnn_lstm,noise,Idle Mean,10.0,20,-0.004554819467342874,-0.00986285745810902,0.1230926513671875,False
cnn_lstm,noise,Idle Mean,20.0,20,-0.005884392734713251,-0.008692269492964127,0.2773551940917969,False
cnn_lstm,noise,Idle Mean,35.0,20,-0.007319713747367396,-0.009777940066130437,0.09730720520019531,False
cnn_lstm,noise,Idle Mean,50.0,20,-0.007645499234972486,-0.003346017149283703,0.49800872802734375,False
cnn_lstm,noise,Idle Mean,75.0,20,0.0030399735885108248,0.0019392634060098114,0.7561664581298828,False
cnn_lstm,noise,Init Fwd Win Byts,10.0,20,-0.0021585120126652035,-0.005495003944684518,0.2942523956298828,False
cnn_lstm,noise,Init Fwd Win Byts,20.0,20,-0.002478361724500666,-0.001421204501503337,0.8408222198486328,False
cnn_lstm,noise,Init Fwd Win Byts,35.0,20,0.008015790589690763,0.005498338973458883,0.1893482208251953,False
cnn_lstm,noise,Init Fwd Win Byts,50.0,20,-0.002792979058141243,-0.006333187508974885,0.47490501403808594,False
cnn_lstm,noise,Init Fwd Win Byts,75.0,20,-0.027438802550301733,-0.022221838953748085,0.01068878173828125,True
cnn_lstm,noise,PSH Flag Cnt,10.0,20,0.00043655733501729577,0.0022013873827309736,0.7938214901244397,False
cnn_lstm,noise,PSH Flag Cnt,20.0,20,-0.007673471071956373,-0.005119053862179207,0.3134209087922204,False
cnn_lstm,noise,PSH Flag Cnt,35.0,20,0.0020471626583517533,0.0009037416120044883,0.8812824436000936,False
cnn_lstm,noise,PSH Flag Cnt,50.0,20,-0.00088311796858076,0.00246423999893573,0.654130777413502,False
cnn_lstm,noise,PSH Flag Cnt,75.0,20,-0.007437089820058751,-0.004535849831070482,0.43300821232079933,False
cnn_lstm,noise,Protocol,10.0,20,0.0007375854131153048,-0.004932842994853937,0.5256171302573314,False
cnn_lstm,noise,Protocol,20.0,20,0.0006538374857235629,-0.005036249720588165,0.6812960891900375,False
cnn_lstm,noise,Protocol,35.0,20,0.009096996874850327,0.00916179558332576,0.011121981675164004,True
cnn_lstm,noise,Protocol,50.0,20,0.008473578787363212,0.008174725855864106,0.10042834167258849,False
cnn_lstm,noise,Protocol,75.0,20,-0.0224194066371195,-0.018081317209945852,0.07311306386722158,False
cnn_lstm,noise,Timestamp,10.0,14,-0.004345552506646311,-0.0037145493549572577,0.17700734666467977,False
cnn_lstm,noise,Timestamp,20.0,14,0.011123879739060483,0.012006782630888415,0.013127850294110933,True
cnn_lstm,noise,Timestamp,35.0,14,-0.004866111994750955,-0.006897817901885436,0.22078514733012833,False
cnn_lstm,noise,Timestamp,50.0,14,-0.013460898892788398,-0.018621234479502282,0.047934751018931465,True
cnn_lstm,noise,Timestamp,75.0,14,-0.005315034801334384,-0.0067422228840653175,0.10933379705726966,False
cnn_lstm,outliers,Bwd Byts_b Avg,10.0,20,0.0,0.0022146890150614162,0.4838398513935682,False
cnn_lstm,outliers,Bwd Byts_b Avg,20.0,20,0.0,0.0034334913680253098,0.12348527214454898,False
cnn_lstm,outliers,Bwd Byts_b Avg,35.0,20,0.0,0.0035116045021323537,0.12348527214454898,False
cnn_lstm,outliers,Bwd Byts_b Avg,50.0,20,0.0,0.003714209326009588,0.40081416938293446,False
cnn_lstm,outliers,Bwd Byts_b Avg,75.0,20,-0.0035179142378322092,0.0005878642546648605,0.8227452173339953,False
cnn_lstm,outliers,Dst Port,10.0,20,-0.034105453891188964,-0.03498288910921815,0.023950576782226562,True
cnn_lstm,outliers,Dst Port,20.0,20,-0.11170615436349873,-0.11126151373832674,3.814697265625e-06,True
cnn_lstm,outliers,Dst Port,35.0,20,-0.1433075419611225,-0.11741113195139699,9.5367431640625e-06,True
cnn_lstm,outliers,Dst Port,50.0,20,-0.16138104850047014,-0.15652932454036123,3.814697265625e-06,True
cnn_lstm,outliers,Dst Port,75.0,20,-0.16289205326211204,-0.15817374937537806,1.9073486328125e-06,True
cnn_lstm,outliers,Fwd Act Data Pkts,10.0,19,0.011138508947184267,0.009319390003180961,0.06628799438476562,False
cnn_lstm,outliers,Fwd Act Data Pkts,20.0,19,0.0019087499266714492,0.0041293614542317406,0.48996734619140625,False
cnn_lstm,outliers,Fwd Act Data Pkts,35.0,19,0.00045625019573247716,0.0061031182525046294,0.5948867797851562,False
cnn_lstm,outliers,Fwd Act Data Pkts,50.0,19,0.003633210031613432,0.007185953492557515,0.24125289916992188,False
cnn_lstm,outliers,Fwd Act Data Pkts,75.0,19,-0.003682378684162768,0.006127452615637513,0.5948867797851562,False
cnn_lstm,outliers,Fwd Blk Rate Avg,10.0,20,0.0,-0.0016948255544476098,0.5754030229127536,False
cnn_lstm,outliers,Fwd Blk Rate Avg,20.0,20,0.0,-0.001156544415736177,1.0,False
cnn_lstm,outliers,Fwd Blk Rate Avg,35.0,20,0.0,0.0026645574516929726,0.4838398513935682,False
