model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
tabnet,outliers,Down_Up Ratio,30.0,5,-0.02975290528359764,-0.017825177187716902,0.1875,False
tabnet,outliers,Down_Up Ratio,50.0,4,-0.023795373014801446,-0.022045953181960593,0.125,False
tabnet,outliers,Down_Up Ratio,75.0,4,-0.015503068511533047,-0.012529908809960105,0.375,False
tabnet,outliers,FIN Flag Cnt,5.0,5,0.012848199145242711,-0.0017683789447699994,0.625,False
tabnet,outliers,FIN Flag Cnt,10.0,5,0.005921573287690385,-0.006390989239002898,0.625,False
tabnet,outliers,FIN Flag Cnt,20.0,5,0.06917320546527517,0.03883491676291926,0.25,False
tabnet,outliers,FIN Flag Cnt,30.0,5,0.05025646963410657,0.02559569864841462,0.25,False
tabnet,outliers,FIN Flag Cnt,50.0,4,0.006374993815405627,-0.0005429110819875349,1.0,False
tabnet,outliers,FIN Flag Cnt,75.0,4,0.02127805785877035,0.014360152961377187,0.25,False
tabnet,outliers,Protocol,5.0,5,-0.010323017422146363,-0.032319780816416864,0.0625,False
tabnet,outliers,Protocol,10.0,5,0.005296937359456799,0.002920629963129895,0.25,False
tabnet,outliers,Protocol,20.0,5,0.01649703992209761,0.009753882189275753,0.25,False
tabnet,outliers,Protocol,30.0,5,-0.04722960138557586,-0.029015544769062162,0.0625,False
tabnet,outliers,Protocol,50.0,4,-0.04310869125763095,-0.043239428334153174,0.125,False
tabnet,outliers,Protocol,75.0,4,-0.05180893108675211,-0.05193966816327433,0.125,False
tabnet,outliers,Timestamp,5.0,5,0.005710629973784909,0.00659804822491219,0.0625,False
tabnet,outliers,Timestamp,10.0,5,0.01900720570216452,0.026032914902902382,0.3125,False
tabnet,outliers,Timestamp,20.0,5,0.006328220891045233,0.0028701857569091603,0.625,False
tabnet,outliers,Timestamp,30.0,5,-8.352887344231785e-05,0.008206951293224463,1.0,False
tabnet,outliers,Timestamp,50.0,4,-0.003068562460572133,0.0014608612061420279,1.0,False
tabnet,outliers,Timestamp,75.0,4,-0.006360655236821111,0.002207981911945822,1.0,False
