model,method,feature,noise_percentage,n,tn_mean,tn_ci,tn_delta,fp_mean,fp_ci,fp_delta,fn_mean,fn_ci,fn_delta,tp_mean,tp_ci,tp_delta,mcc_mean,mcc_ci,mcc_delta
cnn_lstm,outliers,Protocol,50.0,4,22160.0,0.0,-1.0,171.0,0.0,1.0,1542.0,0.0,-200.0,3044.0,0.0,200.0,0.7606052559806361,0.0,0.030299750745460208
cnn_lstm,outliers,Protocol,75.0,4,21935.0,0.0,-226.0,396.0,0.0,226.0,1257.0,0.0,-485.0,3329.0,0.0,485.0,0.7710409754287065,0.0,0.04073547019353063
cnn_lstm,outliers,Timestamp,1.0,5,22188.8,72.92279024910137,27.799999999999272,142.2,72.92279024910137,-27.80000000000001,1634.0,49.83699629216592,-108.0,2952.0,49.83699629216592,108.0,0.7513131578176655,0.012728619509077463,0.0210076525824896
cnn_lstm,outliers,Timestamp,5.0,5,22188.4,104.20956838249437,27.400000000001455,142.6,104.20956838249437,-27.400000000000006,1081.8,327.8538489498721,-660.2,3504.2,327.85384894987214,660.1999999999998,0.832234721312731,0.0479201836190732,0.10192921607755512
cnn_lstm,outliers,Timestamp,10.0,5,22106.8,59.23921549507353,-54.20000000000073,224.2,59.23921549507354,54.19999999999999,683.0,257.65500331847676,-1059.0,3903.0,257.65500331847676,1059.0,0.8775763312399294,0.028634657568742495,0.1472708260047535
cnn_lstm,outliers,Timestamp,20.0,5,22062.0,55.97137047073839,-99.0,269.0,55.97137047073839,99.0,440.8,83.46623881137839,-1301.2,4145.2,83.46623881137839,1301.1999999999998,0.9055628941008717,0.013983286708809266,0.17525738886569575
cnn_lstm,outliers,Timestamp,30.0,5,22028.6,191.9035795622648,-132.40000000000146,302.4,191.9035795622648,132.39999999999998,347.0,21.290102593082896,-1395.0,4239.0,21.290102593082896,1395.0,0.9147156071266789,0.02329197246000883,0.18441010189150298
cnn_lstm,outliers,Timestamp,50.0,4,22189.75,55.91777924593102,28.75,141.25,55.91777924593102,-28.75,350.5,40.68265227861595,-1391.5,4235.5,40.68265227861595,1391.5,0.9345581861269263,0.011881860707970551,0.20425268089175042
cnn_lstm,outliers,Timestamp,75.0,4,21996.75,39.58650660200429,-164.25,334.25,39.58650660200429,164.25,548.75,157.57327798596913,-1193.25,4037.25,157.57327798596913,1193.25,0.8821013481512303,0.022340180687728986,0.1517958429160544
tabnet,outliers,Down_Up Ratio,1.0,5,219683.6,1685.7537137949892,892.6000000000058,3489.0,1706.8556179505194,-915.0,3291.8,215.0453073925014,-274.1999999999998,42746.6,222.46516543936158,296.59999999999854,0.9116083729802267,0.01874322613693599,0.015260134705309847
tabnet,outliers,Down_Up Ratio,5.0,5,220106.0,2351.620977246441,1315.0,3066.6,2378.0132547963053,-1337.4,3980.6,921.2237327998611,414.5999999999999,42057.8,883.1554603329873,-392.1999999999971,0.9076622230735936,0.022117629145010444,0.011313984798676735
tabnet,outliers,Down_Up Ratio,10.0,5,217929.2,792.4323567034883,-861.7999999999884,5243.4,809.9755049864441,839.3999999999996,3271.8,162.82945154280821,-294.1999999999998,42766.6,131.96032047854564,316.59999999999854,0.8906542970711057,0.008317193709561396,-0.00569394120381117
tabnet,outliers,Down_Up Ratio,20.0,5,218126.0,522.2396560879318,-665.0,5046.6,484.84443270872146,642.6000000000004,3261.0,124.77642084372532,-305.0,42777.4,162.8393930277592,327.40000000000146,0.8930745399970101,0.003910861665134084,-0.003273698277906689
tabnet,outliers,Down_Up Ratio,30.0,5,218592.4,233.88744562468176,-198.60000000000582,4580.2,249.8436545356228,176.19999999999982,3602.0,382.4435975717728,36.0,42436.4,362.24746494223575,-13.599999999998545,0.8937831957925099,0.002747917108066767,-0.002565042482406965
