model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,Timestamp,5.0,5,0.7303055052351759,0.8517735604339457,0.1214680551987698,0.10192921607755508,0.0625,False
cnn_lstm,outliers,Timestamp,10.0,5,0.7303055052351759,0.89308698468703,0.16278147945185406,0.14727082600475344,0.0625,False
cnn_lstm,outliers,Timestamp,20.0,5,0.7303055052351759,0.9012803953580935,0.17097489012291756,0.17525738886569586,0.0625,False
cnn_lstm,outliers,Timestamp,30.0,5,0.7303055052351759,0.9197703323700142,0.18946482713483825,0.18441010189150298,0.0625,False
cnn_lstm,outliers,Timestamp,50.0,4,0.7303055052351759,0.9347228218790389,0.20441731664386292,0.20425268089175044,0.125,False
cnn_lstm,outliers,Timestamp,75.0,4,0.7303055052351759,0.8786423840196235,0.14833687878444757,0.15179584291605439,0.125,False
tabnet,duplicated,Timestamp,1.0,5,0.8963482382749168,0.8960471649624183,-0.0003010733124985121,-0.0003010733124985121,0.0625,False
tabnet,duplicated,Timestamp,5.0,5,0.8963482382749168,0.8913486151993902,-0.004999623075526594,-0.004999623075526594,0.0625,False
tabnet,duplicated,Timestamp,10.0,5,0.8963482382749168,0.8893263378491677,-0.007021900425749128,-0.007021900425749128,0.0625,False
tabnet,duplicated,Timestamp,20.0,5,0.8963482382749168,0.8930623767551907,-0.0032858615197260965,-0.0032858615197260965,0.0625,False
tabnet,duplicated,Timestamp,30.0,5,0.8963482382749168,0.9287178573783224,0.03236961910340552,0.03236961910340552,0.0625,False
tabnet,duplicated,Timestamp,50.0,3,0.8963482382749168,0.8871560507971269,-0.009192187477789937,-0.009192187477789937,0.25,False
tabnet,duplicated,Timestamp,75.0,3,0.8963482382749168,0.8980920322358066,0.0017437939608897501,0.0017437939608897501,0.25,False
tabnet,labels,FIN Flag Cnt,1.0,5,0.8963482382749168,0.8749872195980868,-0.021361018676830046,-0.037752763256416744,0.0625,False
tabnet,labels,FIN Flag Cnt,5.0,5,0.8963482382749168,0.8563782531597841,-0.03996998511513272,-0.0086388410321383,0.25,False
tabnet,labels,FIN Flag Cnt,10.0,5,0.8963482382749168,0.8899226383000285,-0.006425599974888341,0.0031292639176443205,0.8125,False
tabnet,labels,FIN Flag Cnt,20.0,5,0.8963482382749168,0.8801835855724236,-0.016164652702493232,-0.021221548209798713,0.0625,False
tabnet,labels,FIN Flag Cnt,30.0,5,0.8963482382749168,0.884134214727645,-0.012214023547271857,-0.020452949443299985,0.0625,False
tabnet,labels,FIN Flag Cnt,50.0,4,0.8963482382749168,0.8833082621272721,-0.013039976147644738,-0.013039976147644738,0.125,False
tabnet,labels,FIN Flag Cnt,75.0,4,0.8963482382749168,0.8859430612697713,-0.010405177005145538,-0.010405177005145538,0.125,False
tabnet,labels,Protocol,1.0,5,0.8963482382749168,0.9022333183301187,0.00588508005520183,-0.0070231252002874054,0.625,False
tabnet,labels,Protocol,5.0,5,0.8963482382749168,0.9388203325227543,0.04247209424783749,0.021012832281097203,0.25,False
tabnet,labels,Protocol,10.0,5,0.8963482382749168,0.9203628286031869,0.024014590328270025,0.022623621923731907,0.0625,False
tabnet,labels,Protocol,20.0,5,0.8963482382749168,0.8823856343497157,-0.0139626039252011,-0.009107434397211489,0.0625,False
tabnet,labels,Protocol,30.0,5,0.8963482382749168,0.8701494929587567,-0.026198745316160177,0.003309762761501278,0.625,False
tabnet,labels,Protocol,50.0,4,0.8963482382749168,0.933271670741083,0.03692343246616614,0.03692343246616614,0.125,False
tabnet,labels,Protocol,75.0,4,0.8963482382749168,0.9227790365274342,0.026430798252517373,0.026430798252517373,0.125,False
tabnet,missing,Down_Up Ratio,1.0,5,0.8963482382749168,0.8686640699545506,-0.027684168320366243,-0.021175324525080197,0.0625,False
tabnet,missing,Down_Up Ratio,5.0,5,0.8963482382749168,0.8829028560719002,-0.01344538220301661,-0.0030360570740314285,0.25,False
tabnet,missing,Down_Up Ratio,10.0,5,0.8963482382749168,0.8973108012906195,0.0009625630157026333,-0.004064365485245247,0.625,False
tabnet,missing,Down_Up Ratio,20.0,5,0.8963482382749168,0.8875092007691798,-0.008839037505737002,-0.009913032696930113,0.0625,False
tabnet,missing,Down_Up Ratio,30.0,5,0.8963482382749168,0.8949089772777872,-0.0014392609971296544,0.012091493481679195,0.625,False
tabnet,missing,Down_Up Ratio,50.0,4,0.8963482382749168,0.8855941307083884,-0.010754107566528393,-0.010754107566528393,0.125,False
tabnet,missing,Down_Up Ratio,75.0,4,0.8963482382749168,0.9475286226622197,0.05118038438730288,0.05118038438730288,0.125,False
tabnet,missing,FIN Flag Cnt,1.0,5,0.8963482382749168,0.8765434575900468,-0.019804780684870016,-0.010144389671844788,0.25,False
tabnet,missing,FIN Flag Cnt,5.0,5,0.8963482382749168,0.889833732478616,-0.006514505796300862,-0.013394403939811483,0.0625,False
tabnet,missing,FIN Flag Cnt,10.0,5,0.8963482382749168,0.8980352107987636,0.0016869725238467526,0.019212170638626368,0.0625,False
tabnet,missing,FIN Flag Cnt,20.0,5,0.8963482382749168,0.878419285713971,-0.017928952560945843,0.0005782958900189428,0.625,False
